tweet_id,safe_text,label,agreement,label_name,char_len,word_len,text_norm
CL1KWCMY,Me &amp; The Big Homie meanboy3000 #MEANBOY #MB #MBS #MMR #STEGMANLIFE @ Stegman St. <url>,0.0,1.0,neutral,90,15,me amp the big homie meanboy3000 meanboy mb mbs mmr stegmanlife stegman st url
E3303EME,I'm 100% thinking of devoting my career to proving autism isn't caused by vaccines due to the IDIOTIC posts I've seen about World Autism Day,1.0,1.0,positive,140,25,im 100 thinking of devoting my career to proving autism isnt caused by vaccines due to the idiotic posts ive seen about world autism day
M4IVFSMS,"#whatcausesautism VACCINES, DO NOT VACCINATE YOUR CHILD",-1.0,1.0,negative,55,7,whatcausesautism vaccines do not vaccinate your child
1DR6ROZ4,"I mean if they immunize my kid with something that won't secretly kill him years down the line then I'm all for it, but I don't trust that",-1.0,1.0,negative,138,28,i mean if they immunize my kid with something that wont secretly kill him years down the line then im all for it but i dont trust that
J77ENIIE,Thanks to <user> Catch me performing at La Nuit NYC 1134 1st ave. Show starts at 6! #jennifair #mmr… <url>,0.0,1.0,neutral,106,20,thanks to user catch me performing at la nuit nyc 1134 1st ave show starts at 6 jennifair mmr… url
OVNPOAUX,<user> a nearly 67 year old study when mental health studies and vaccines were relatively in their infancies that has been refuted?,1.0,0.6666666666666666,positive,131,22,user a nearly 67 year old study when mental health studies and vaccines were relatively in their infancies that has been refuted
JDA2QDV5,"Study of more than 95,000 kids finds no link between MMR vaccine and autism <url>",1.0,0.6666666666666666,positive,81,15,study of more than 95000 kids finds no link between mmr vaccine and autism url
S6UKR4OJ,psa: VACCINATE YOUR FUCKING KIDS,1.0,1.0,positive,32,5,psa vaccinate your fucking kids
V6IJATBE,Coughing extra on the shuttle and everyone thinks I have the measles. 😂 #VaccinateYourKids,1.0,0.6666666666666666,positive,90,14,coughing extra on the shuttle and everyone thinks i have the measles 😂 vaccinateyourkids
VB25IDQK,AIDS vaccine created at Oregon Health &amp; Science University may clear virus from body - <url> <url>,1.0,0.6666666666666666,positive,102,17,aids vaccine created at oregon health amp science university may clear virus from body url url
PEM9KSVV,"<user> @ this point I have 2 text, butw/Bon Jovi cover playin @ Alibi's hope U can come out 2 MMR BBQ<user> will b there!",0.0,1.0,neutral,121,25,user this point i have 2 text butwbon jovi cover playin alibis hope u can come out 2 mmr bbquser will b there
TTLQWD2R,"My prediction, vaccine exemption in Arizona will end soon. To much money is being lost by big pharma.",0.0,0.6666666666666666,neutral,101,18,my prediction vaccine exemption in arizona will end soon to much money is being lost by big pharma
0STNE2MG,Getting my vaccines ! #china #nervous #moving .. With Cheryl (@ Southern Nevada Health District) <url>,1.0,1.0,positive,102,16,getting my vaccines china nervous moving with cheryl southern nevada health district url
9SCBVTZP,1$Mug Noche <user> #mmr #mixmasterrod #dcdj #mmr   @ Mad Hatter <url>,0.0,1.0,neutral,69,11,1mug noche user mmr mixmasterrod dcdj mmr mad hatter url
H31NBXJW,Got my Influenza Vaccine! (@ Purdue University Student Health (PUSH) - <user> <url>,1.0,0.6666666666666666,positive,83,13,got my influenza vaccine purdue university student health push user url
HN8KBV0K,SB121 [Enroll] Meningococcal disease-pupils to be immunized against at recommended age <url>,0.0,0.6666666666666666,neutral,92,12,sb121 enroll meningococcal diseasepupils to be immunized against at recommended age url
NLNBQ85U,Increasing number of parents skip vaccinations for their children-Columbia Missourian #Columbia <url>,0.0,1.0,neutral,101,12,increasing number of parents skip vaccinations for their childrencolumbia missourian columbia url
