url,publishedAt,title,description,content,source_name,source_url,text_full,text_clean,text_processed
https://seekingalpha.com/news/4550005-moderna-shares-drop-after-fda-refuses-to-file-for-mrna-1010-influenza-vaccine,2026-02-11 07:54:39+00:00,Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine,Moderna’s mRNA-1010 flu vaccine application gets FDA refusal-to-file over trial control arm; shares drop.,"Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine
Feb. 11, 2026 2:54 AM ETModerna, Inc. (MRNA) StockBy : Arundhati Sarkar, SA News Editor
Comment
(1)
Moderna (MRNA) Tuesday said that the U.S. Food and Drug Administration w... [373 chars]",Seeking Alpha,https://seekingalpha.com,"Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine Moderna’s mRNA-1010 flu vaccine application gets FDA refusal-to-file over trial control arm; shares drop. Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine
Feb. 11, 2026 2:54 AM ETModerna, Inc. (MRNA) StockBy : Arundhati Sarkar, SA News Editor
Comment
(1)
Moderna (MRNA) Tuesday said that the U.S. Food and Drug Administration w... [373 chars]","Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine Moderna’s mRNA-1010 flu vaccine application gets FDA refusal-to-file over trial control arm; shares drop. Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine Feb. 11, 2026 2:54 AM ETModerna, Inc. (MRNA) StockBy : Arundhati Sarkar, SA News Editor Comment (1) Moderna (MRNA) Tuesday said that the U.S. Food and Drug Administration w... [373 chars]",moderna share drop fda refuse file influenza vaccine moderna flu vaccine application get fda refusaltofile trial control arm share drop moderna share drop fda refuse file influenza vaccine feb etmoderna inc mrna stockby arundhati sarkar news editor comment moderna mrna tuesday say food drug administration char
https://www.foxnews.com/health/fda-refuses-review-modernas-mrna-flu-vaccine-application,2026-02-11 07:20:19+00:00,FDA refuses to review Moderna’s mRNA flu vaccine application,"FDA refuses Moderna mRNA flu vaccine application, citing inadequate study design that could delay stronger protection shot, as Stéphane Bancel says decision contradicts prior FDA guidance.","NEWYou can now listen to Fox News articles!
The U.S. Food and Drug Administration (FDA) refused to consider Moderna’s application for a new flu vaccine using mRNA technology, the company announced Tuesday, a decision that could delay the introduction... [3478 chars]",Fox News,https://www.foxnews.com,"FDA refuses to review Moderna’s mRNA flu vaccine application FDA refuses Moderna mRNA flu vaccine application, citing inadequate study design that could delay stronger protection shot, as Stéphane Bancel says decision contradicts prior FDA guidance. NEWYou can now listen to Fox News articles!
The U.S. Food and Drug Administration (FDA) refused to consider Moderna’s application for a new flu vaccine using mRNA technology, the company announced Tuesday, a decision that could delay the introduction... [3478 chars]","FDA refuses to review Moderna’s mRNA flu vaccine application FDA refuses Moderna mRNA flu vaccine application, citing inadequate study design that could delay stronger protection shot, as Stéphane Bancel says decision contradicts prior FDA guidance. NEWYou can now listen to Fox News articles! The U.S. Food and Drug Administration (FDA) refused to consider Moderna’s application for a new flu vaccine using mRNA technology, the company announced Tuesday, a decision that could delay the introduction... [3478 chars]",fda refuse review moderna mrna flu vaccine application fda refuse moderna mrna flu vaccine application cite inadequate study design could delay strong protection shoot stéphane bancel say decision contradict prior fda guidance newyou listen fox news article food drug administration fda refuse consider moderna application new flu vaccine use mrna technology company announce tuesday decision could delay introduction char
https://www.cbsnews.com/news/moderna-says-fda-refuses-its-application-for-new-mrna-flu-vaccine/,2026-02-11 04:28:28+00:00,Moderna says FDA refuses its application for new mRNA flu vaccine,"The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with mRNA technology, the company said.","The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA's heightened scrutiny of vaccine... [3740 chars]",CBS News,https://www.cbsnews.com,"Moderna says FDA refuses its application for new mRNA flu vaccine The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with mRNA technology, the company said. The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA's heightened scrutiny of vaccine... [3740 chars]","Moderna says FDA refuses its application for new mRNA flu vaccine The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with mRNA technology, the company said. The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA's heightened scrutiny of vaccine... [3740 chars]",moderna say fda refuse application new mrna flu vaccine food drug administration refuse consider modernas application new flu vaccine make mrna technology company say food drug administration refusing consider modernas application new flu vaccine make nobel prizewinne mrna technology company announce tuesday news late sign fdas heighten scrutiny vaccine char
https://www.cnbctv18.com/lifestyle/healthcare/moderna-says-fda-refuses-its-application-for-new-mrna-flu-vaccine-ws-l-19847295.htm,2026-02-11 03:43:35+00:00,Moderna says FDA refuses its application for new mRNA flu vaccine,Moderna faces FDA refusal for its mRNA flu vaccine application amid Robert F. Kennedy Jr.'s increased scrutiny of mRNA technology. Learn more.,"FDA under Robert F. Kennedy Jr. refused to consider Moderna's mRNA flu vaccine, citing trial issues. Moderna seeks urgent talks and has applied for approval in Europe, Canada, and Australia.
By AP
The US Food and Drug Administration is refusing to co... [3106 chars]",CNBC TV18,https://www.cnbctv18.com,"Moderna says FDA refuses its application for new mRNA flu vaccine Moderna faces FDA refusal for its mRNA flu vaccine application amid Robert F. Kennedy Jr.'s increased scrutiny of mRNA technology. Learn more. FDA under Robert F. Kennedy Jr. refused to consider Moderna's mRNA flu vaccine, citing trial issues. Moderna seeks urgent talks and has applied for approval in Europe, Canada, and Australia.
By AP
The US Food and Drug Administration is refusing to co... [3106 chars]","Moderna says FDA refuses its application for new mRNA flu vaccine Moderna faces FDA refusal for its mRNA flu vaccine application amid Robert F. Kennedy Jr.'s increased scrutiny of mRNA technology. Learn more. FDA under Robert F. Kennedy Jr. refused to consider Moderna's mRNA flu vaccine, citing trial issues. Moderna seeks urgent talks and has applied for approval in Europe, Canada, and Australia. By AP The US Food and Drug Administration is refusing to co... [3106 chars]",moderna say fda refuse application new mrna flu vaccine moderna face fda refusal mrna flu vaccine application amid robert kennedy jrs increase scrutiny mrna technology learn fda robert kennedy refuse consider modernas mrna flu vaccine cite trial issue moderna seek urgent talk apply approval europe canada australia food drug administration refuse char
https://www.pennlive.com/health/2026/02/kennedy-era-fda-changes-vaccine-review-process-blocks-moderna-application.html,2026-02-11 02:55:05+00:00,Moderna says FDA refuses its application for new mRNA flu vaccine,"The decision follows a pattern of policy shifts, including the rollback of COVID-19 recommendations and cancellation of mRNA funding.","By LAURAN NEERGAARD and MATTHEW PERRONE, The Associated Press
WASHINGTON (AP) — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company annou... [3185 chars]",Mechanicsburg Patriot News ,https://www.pennlive.com,"Moderna says FDA refuses its application for new mRNA flu vaccine The decision follows a pattern of policy shifts, including the rollback of COVID-19 recommendations and cancellation of mRNA funding. By LAURAN NEERGAARD and MATTHEW PERRONE, The Associated Press
WASHINGTON (AP) — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company annou... [3185 chars]","Moderna says FDA refuses its application for new mRNA flu vaccine The decision follows a pattern of policy shifts, including the rollback of COVID-19 recommendations and cancellation of mRNA funding. By LAURAN NEERGAARD and MATTHEW PERRONE, The Associated Press WASHINGTON (AP) — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company annou... [3185 chars]",moderna say fda refuse application new mrna flu vaccine decision follow pattern policy shift include rollback recommendation cancellation mrna funding lauran neergaard matthew perrone associated press washington food drug administration refuse consider moderna application new flu vaccine make nobel prizewinne mrna technology company annou char
https://www.manilatimes.net/2026/02/11/world/americas-emea/moderna-says-fda-refuses-its-application-for-new-mrna-flu-vaccine/2275804,2026-02-11 01:45:00+00:00,Moderna says FDA refuses its application for new mRNA flu vaccine,"WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.","WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA’s heighten... [2895 chars]",The Manila Times,https://www.manilatimes.net,"Moderna says FDA refuses its application for new mRNA flu vaccine WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA’s heighten... [2895 chars]","Moderna says FDA refuses its application for new mRNA flu vaccine WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA’s heighten... [2895 chars]",moderna say fda refuse application new mrna flu vaccine washington food drug administration refuse consider moderna application new flu vaccine make nobel prizewinne mrna technology company announce tuesday washington food drug administration refuse consider moderna application new flu vaccine make nobel prizewinne mrna technology company announce tuesday news late sign fda heighten char
https://arstechnica.com/health/2026/02/fda-refuses-to-review-modernas-mrna-flu-vaccine/,2026-02-11 01:21:12+00:00,FDA refuses to review Moderna's mRNA flu vaccine,The move comes amid RFK Jr.'s relentless efforts to enact his anti-vaccine agenda.,"The Food and Drug Administration has refused to review Moderna’s application for an mRNA flu vaccine, the company revealed Tuesday.
While the move came as a surprise to the high-profile vaccine maker, it is just the latest hostility toward vaccines—a... [2657 chars]",Ars Technica,https://arstechnica.com,"FDA refuses to review Moderna's mRNA flu vaccine The move comes amid RFK Jr.'s relentless efforts to enact his anti-vaccine agenda. The Food and Drug Administration has refused to review Moderna’s application for an mRNA flu vaccine, the company revealed Tuesday.
While the move came as a surprise to the high-profile vaccine maker, it is just the latest hostility toward vaccines—a... [2657 chars]","FDA refuses to review Moderna's mRNA flu vaccine The move comes amid RFK Jr.'s relentless efforts to enact his anti-vaccine agenda. The Food and Drug Administration has refused to review Moderna’s application for an mRNA flu vaccine, the company revealed Tuesday. While the move came as a surprise to the high-profile vaccine maker, it is just the latest hostility toward vaccines—a... [2657 chars]",fda refuse review modernas mrna flu vaccine move come amid rfk jrs relentless effort enact antivaccine agenda food drug administration refuse review moderna application mrna flu vaccine company reveal tuesday move come surprise highprofile vaccine maker late hostility toward char
https://www.devdiscourse.com/article/health/3800520-fda-blocks-modernas-mrna-flu-vaccine-application-amid-heightened-scrutiny,2026-02-11 00:56:47+00:00,FDA Blocks Moderna's mRNA Flu Vaccine Application Amid Heightened Scrutiny,"The FDA has refused to consider Moderna's application for a new flu vaccine using mRNA technology, criticizing the design of its clinical trial. Despite the agency's concerns, Moderna argues there are no safety or efficacy issues. The refusal is part of increased FDA scrutiny under Health Secretary Robert F Kennedy Jr.","The US Food and Drug Administration (FDA) has declined Moderna's application for a new flu vaccine developed with mRNA technology, expressing concerns over the clinical trial's structure. This decision is the latest instance of escalated scrutiny on ... [820 chars]",Devdiscourse,https://www.devdiscourse.com,"FDA Blocks Moderna's mRNA Flu Vaccine Application Amid Heightened Scrutiny The FDA has refused to consider Moderna's application for a new flu vaccine using mRNA technology, criticizing the design of its clinical trial. Despite the agency's concerns, Moderna argues there are no safety or efficacy issues. The refusal is part of increased FDA scrutiny under Health Secretary Robert F Kennedy Jr. The US Food and Drug Administration (FDA) has declined Moderna's application for a new flu vaccine developed with mRNA technology, expressing concerns over the clinical trial's structure. This decision is the latest instance of escalated scrutiny on ... [820 chars]","FDA Blocks Moderna's mRNA Flu Vaccine Application Amid Heightened Scrutiny The FDA has refused to consider Moderna's application for a new flu vaccine using mRNA technology, criticizing the design of its clinical trial. Despite the agency's concerns, Moderna argues there are no safety or efficacy issues. The refusal is part of increased FDA scrutiny under Health Secretary Robert F Kennedy Jr. The US Food and Drug Administration (FDA) has declined Moderna's application for a new flu vaccine developed with mRNA technology, expressing concerns over the clinical trial's structure. This decision is the latest instance of escalated scrutiny on ... [820 chars]",fda block modernas mrna flu vaccine application amid heighten scrutiny fda refuse consider modernas application new flu vaccine use mrna technology criticize design clinical trial despite agencys concern moderna argue safety efficacy issue refusal part increase fda scrutiny health secretary robert kennedy food drug administration fda decline modernas application new flu vaccine develop mrna technology express concern clinical trial structure decision late instance escalate scrutiny char
https://www.adn.com/nation-world/2026/02/10/fda-refuses-to-review-moderna-application-for-new-mrna-based-flu-vaccine/,2026-02-11 00:56:26+00:00,FDA refuses to review Moderna application for new mRNA-based flu vaccine,"It’s rare that FDA refuses to file an application, particularly for a new vaccine, which requires companies and FDA staff to engage in months or years of discussions.","WASHINGTON — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA’s heightened s... [2895 chars]",Anchorage Daily News,https://www.adn.com,"FDA refuses to review Moderna application for new mRNA-based flu vaccine It’s rare that FDA refuses to file an application, particularly for a new vaccine, which requires companies and FDA staff to engage in months or years of discussions. WASHINGTON — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA’s heightened s... [2895 chars]","FDA refuses to review Moderna application for new mRNA-based flu vaccine It’s rare that FDA refuses to file an application, particularly for a new vaccine, which requires companies and FDA staff to engage in months or years of discussions. WASHINGTON — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA’s heightened s... [2895 chars]",fda refuse review moderna application new mrnabase flu vaccine rare fda refuse file application particularly new vaccine require company fda staff engage month year discussion washington food drug administration refuse consider moderna application new flu vaccine make nobel prizewinne mrna technology company announce tuesday news late sign fda heighten char
https://www.syracuse.com/health/2026/02/fda-refuses-to-consider-application-for-new-mrna-flu-vaccine-moderna-says.html,2026-02-11 00:46:51+00:00,"FDA refuses to consider application for new mRNA flu vaccine, Moderna says","It’s rare for the FDA to refuse to file an application, particularly for a new vaccine.","Washington — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA’s heightened s... [2391 chars]",syracuse.com,https://www.syracuse.com,"FDA refuses to consider application for new mRNA flu vaccine, Moderna says It’s rare for the FDA to refuse to file an application, particularly for a new vaccine. Washington — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday.
The news is the latest sign of the FDA’s heightened s... [2391 chars]","FDA refuses to consider application for new mRNA flu vaccine, Moderna says It’s rare for the FDA to refuse to file an application, particularly for a new vaccine. Washington — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA’s heightened s... [2391 chars]",fda refuse consider application new mrna flu vaccine moderna say rare fda refuse file application particularly new vaccine washington food drug administration refuse consider moderna application new flu vaccine make nobel prizewinne mrna technology company announce tuesday news late sign fda heighten char
