text_clean,label
"Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine Moderna’s mRNA-1010 flu vaccine application gets FDA refusal-to-file over trial control arm; shares drop. Moderna shares drop after FDA refuses to file for mRNA-1010 influenza vaccine Feb. 11, 2026 2:54 AM ETModerna, Inc. (MRNA) StockBy : Arundhati Sarkar, SA News Editor Comment (1) Moderna (MRNA) Tuesday said that the U.S. Food and Drug Administration w... [373 chars]",-1
"FDA refuses to review Moderna’s mRNA flu vaccine application FDA refuses Moderna mRNA flu vaccine application, citing inadequate study design that could delay stronger protection shot, as Stéphane Bancel says decision contradicts prior FDA guidance. NEWYou can now listen to Fox News articles! The U.S. Food and Drug Administration (FDA) refused to consider Moderna’s application for a new flu vaccine using mRNA technology, the company announced Tuesday, a decision that could delay the introduction... [3478 chars]",-1
"Moderna says FDA refuses its application for new mRNA flu vaccine The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with mRNA technology, the company said. The Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA's heightened scrutiny of vaccine... [3740 chars]",-1
"Moderna says FDA refuses its application for new mRNA flu vaccine Moderna faces FDA refusal for its mRNA flu vaccine application amid Robert F. Kennedy Jr.'s increased scrutiny of mRNA technology. Learn more. FDA under Robert F. Kennedy Jr. refused to consider Moderna's mRNA flu vaccine, citing trial issues. Moderna seeks urgent talks and has applied for approval in Europe, Canada, and Australia. By AP The US Food and Drug Administration is refusing to co... [3106 chars]",-1
"Moderna says FDA refuses its application for new mRNA flu vaccine The decision follows a pattern of policy shifts, including the rollback of COVID-19 recommendations and cancellation of mRNA funding. By LAURAN NEERGAARD and MATTHEW PERRONE, The Associated Press WASHINGTON (AP) — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company annou... [3185 chars]",-1
"Moderna says FDA refuses its application for new mRNA flu vaccine WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. WASHINGTON, D.C. — The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA’s heighten... [2895 chars]",-1
"FDA refuses to review Moderna's mRNA flu vaccine The move comes amid RFK Jr.'s relentless efforts to enact his anti-vaccine agenda. The Food and Drug Administration has refused to review Moderna’s application for an mRNA flu vaccine, the company revealed Tuesday. While the move came as a surprise to the high-profile vaccine maker, it is just the latest hostility toward vaccines—a... [2657 chars]",-1
"FDA Blocks Moderna's mRNA Flu Vaccine Application Amid Heightened Scrutiny The FDA has refused to consider Moderna's application for a new flu vaccine using mRNA technology, criticizing the design of its clinical trial. Despite the agency's concerns, Moderna argues there are no safety or efficacy issues. The refusal is part of increased FDA scrutiny under Health Secretary Robert F Kennedy Jr. The US Food and Drug Administration (FDA) has declined Moderna's application for a new flu vaccine developed with mRNA technology, expressing concerns over the clinical trial's structure. This decision is the latest instance of escalated scrutiny on ... [820 chars]",-1
"FDA refuses to review Moderna application for new mRNA-based flu vaccine It’s rare that FDA refuses to file an application, particularly for a new vaccine, which requires companies and FDA staff to engage in months or years of discussions. WASHINGTON — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA’s heightened s... [2895 chars]",-1
"FDA refuses to consider application for new mRNA flu vaccine, Moderna says It’s rare for the FDA to refuse to file an application, particularly for a new vaccine. Washington — The U.S. Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology, the company announced Tuesday. The news is the latest sign of the FDA’s heightened s... [2391 chars]",-1
US refuses application for new mRNA flu vaccine An application for a new flu vaccine made with Nobel Prize-winning mRNA technology has been knocked back by the US authority overseen by Robert F Kennedy Jr. The US Food and Drug Administration is refusing to consider Moderna’s application for a new flu vaccine made with Nobel Prize-winning mRNA technology. The news is the latest sign of the FDA’s heightened scrutiny of vaccines under Health Secretary Rob... [2426 chars],-1
"FDA declines to review Moderna’s new flu vaccine This decision signals heightened scrutiny of vaccines by the FDA under Health Secretary Robert F. Kennedy Jr. The U.S. Food and Drug Administration (FDA) has refused to consider Moderna’s application for a new flu vaccine, which utilizes Nobel Prize-winning mRNA technology, the company announced on Tuesday. This decision signals heightened scrutiny of vaccin... [2884 chars]",-1
US refuses application for new mRNA flu vaccine An application for a new flu vaccine made with Nobel Prize-winning mRNA technology has been knocked back by the US authority overseen by Robert F Kennedy Jr. The US Food and Drug Administration is refusing to consider Moderna's application for a new flu vaccine made with Nobel Prize-winning mRNA technology. The news is the latest sign of the FDA's heightened scrutiny of vaccines under Health Secretary Rob... [2371 chars],-1
