text_clean,label
Crazy.,0
They aren't going to let us have this vaccine. It's a vaccine FFS. It's because it's an mRNA vaccine. They are working on individual vaccines for CANCER FFS. Will we be denied that as well!?,-1
Well...the rich will get vaccinated abroad if it's good for them.,1
I think I may have to get my vaccines in Canada… or move,-1
"So, Americans over 50 may have to get vaccinated for Covid outside the US because the FDA is being run by idiots.",1
Sounds like Trump's FDA trolling the waters for a payout.,-1
They want us also to die. End of story.,-1
There will be no more flu or Covid shots as long as regime is in power,-1
FUUUUUUUUCK I hate this fucking timeline.,-1
"The Drug Hunters by Kirsch & Ogas gives the history of drug discovery from botanicals thru computer analysis. Even now biological complexities result in very few drug discoveries with many $billions spent on unsuccessful research. The gov't making the approval process more expensive will result in less research. So, more suffering, more deaths. Dr., congrats on your restraint in not making this episode political! Although I enjoy it when you do.",-1
OZ now says to get the measles vaccine. he'll wait til seniors start dying more to fight for this vaccine getting reviewed,-1
Great brain drain,1
as an American senior can i get it in Canada? i'll pay.,-1
Their goal is to reduce the population..read project 2025 and let's not forget about those Epstein files 🤔,-1
The bastard soiling the WH WILL receive Moderna's vaccine. This is the criminal's grifting interfering with any other stream of income other than what will line Trump's & cronies pockets. America is being controlled by CRIMINALS.,-1
We are becoming a third world country by ignorance & spite.,-1
"This terrifies me in an additional way, what might this mean for vaccine availability in general. This admin shows no care for the vast majority of the US populace, and limited vaccines will lead to more and more deaths and/or life long complications.",-1
mRNA Covid vaxxes made me incredibly sick. I couldn't finish the boosters. I won't take an mRNA Flu shot for sure.,-1
Oh the FDA will move the goalposts back as soon as a certain amount of meme coin gets purchased by Moderna surrogates. We're living in Putin's Russia now.,1
Don't worry. It's already been in there since at least 2021. Don't be silly.,-1
"We need to continue being leaders in all medical research, not followers.",0
The long-term goal of the Trump dictatorship seems to be to destroy the USA. It’s what he did to the business he inherited from his father.,-1
This is a huge contributor to the cost of medication in this country. They have now just made it more expensive.,1
Sad So unesessary FAFO Keep those elbows all the way up 🇨🇦,-1
Sounds like the anti-vaxer in chief RFK in behind this in some way.,-1
I absolutely refuse to take regular vaccines because they abuse animals in the process. I would take an mRNA vaccine,-1
"Under RFK jr, the FDA is doing everything it can to promote what DJT wants. Sickness and death being high on the list.",-1
The FDAs position is swim in raw sewage to strengthen your immune system and have some steak with your butter,-1
It's denial is also mean to the people that can't get the flu vaccine due to egg allergy. Republicans seem hellbent to be mean to the average American.,1
Why get better vaccines when they want to lower the population when RFK jr and Trump and Eugenists and Dictators do this to make more for the Dicktator.,0
Our CUNTry is a disgrace,-1
My mom was in the Moderna clinical trial. She’s the only person I know who never caught COVID. Just sayinggggg,-1
Who owns the old vaccine?,0
"Such a shame. I need to deep dive my records and look at ingredients, but I keep reacting to vaccines. The moderna COVID vax I had zero issues. I trust moderna.",-1
This is horrifying,-1
Sacred Bovine fellow Hominidae! ❤,0
