commentId,text_clean,label
UgwbA7EAYiTmjErqFuR4AaABAg,"Im 65, 13 yrs on a plant based nutrition and dont want more vaccines. I've never gotten vaccinated for the flu. My inmunne system is high. So no thanks.",-1
UgyHj9ss6hxTO9lrA6h4AaABAg,I don't flu shots and I'm not getting the kungflu shot either.,-1
UgzVWMOduZCEdJCjD-t4AaABAg,Btw I got one today,0
Ugx6zKksxTPzo8SCYod4AaABAg,"I mention influenza A and B briefly in this video — you might be wondering... what about Influenza C? And D? Well, it’s true that a truly universal flu vaccine would mean covering those too, but influenza C is generally very mild and is not thought to cause epidemics. And Influenza D? Well, that one is typically only found in cattle and unlikely to affect humans at all. You can read more about the types and how they’re defined here on the CDC’s website: -Kim",0
Ugzkr3_ApPelLNwaGLB4AaABAg,"Scientists lost to ""Coronavirus""",0
UgxkGCE8RuGudd1Bvdp4AaABAg,"Had the flu really bad about 15 years ago, haven't missed a shot since, also haven't had the Flu since.",1
UgwciFimpfDGVh4z8HN4AaABAg,So I’m battling my excess weight at the moment and I’m still overweight ( but not obese) I don’t want a flu shot. Should I get one at 71?,0
UgxbNWthcIAsM7b48lF4AaABAg,The bitch that gave me and my brother a shot today did it so fucking slow. :| *it kinda hurts X_X*,0
UgzWPpDVbNywVxspExx4AaABAg,Thank you. 👏🏾,1
UgwY9Wcx2TznpRPD3pB4AaABAg,"My mom is 67...while married she got the flu vaccine for years and get dog sick every single time. Last yr she got divorced and moved in with us, I didn't take her for this shot...last yr was the first yr she never got sick! So no I'm sorry...I think this flu vaccine is nonsense 😊",-1
UgyzsoztA5Y7MYacNAt4AaABAg,"I receive flu vaccines yearly because I'm aware that there are different strains, mutations. But, for the first time ever, I had a severe reaction last year. Now, I'm afraid. Maybe, material used to create vaccines changed??? Or, it's because I received flu vaccine and pneumocacal together. Mmmmm",0
